timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
461.031,0.0137278,-0.163256,-9.69426,-0.000829393,-0.000208987,-0.000503351
461.038,-0.00890673,-0.178017,-9.67708,-0.000264694,-0.000768262,-0.000431881
461.044,0.00943931,-0.173461,-9.65251,-0.000429237,0.000864353,-0.000265897
461.05,0.00565413,-0.169308,-9.66084,0.00015559,0.000264325,-0.000975178
461.056,0.000772094,-0.178833,-9.67793,-0.000122528,-0.000810775,-0.000597841
461.063,0.0404343,-0.173112,-9.65584,0.000700121,-0.00100193,-0.000266995
461.069,0.00713742,-0.154062,-9.6518,-0.000297901,0.000337446,-1.49803e-05
461.075,0.0223429,-0.186165,-9.64003,0.000304075,0.000582187,-0.000982603
461.081,0.0122988,-0.17768,-9.65632,-0.00069399,0.00053529,-0.000312801
461.088,0.00291185,-0.190278,-9.6262,-0.000132025,6.24092e-05,0.000153091
461.094,-0.00182766,-0.168706,-9.67509,0.000248559,0.000613744,-0.000529611
461.1,0.0194367,-0.174437,-9.66256,0.00044261,-0.000953941,0.000429233
461.106,0.0298242,-0.142625,-9.65607,0.00066059,-2.95054e-05,-0.000568009
461.113,0.0172912,-0.159035,-9.67504,6.41472e-05,-0.000240975,-0.000751988
461.119,0.00895591,-0.179882,-9.65925,-0.000620395,-0.000964894,-0.000364984
461.125,0.0163036,-0.175003,-9.63812,0.000683241,-0.000176928,-0.000663936
461.131,-0.000715264,-0.183788,-9.61989,-0.00157289,-0.000424933,-0.00102337
461.138,-0.000790209,-0.177377,-9.65894,0.000106521,0.000207912,-0.00112226
461.144,0.00881068,-0.15847,-9.65027,0.00106903,-0.000206017,-0.000225799
461.15,0.00363658,-0.168378,-9.6339,0.0009201,-9.97707e-05,-0.000780971
461.156,0.0252684,-0.176409,-9.66815,-0.00072151,-0.000672027,-0.000200461
461.163,0.0084038,-0.187128,-9.66186,-0.000660436,-0.000490621,-0.000506956
461.169,0.0126566,-0.170037,-9.67315,0.00127043,0.00104376,-0.000284419
461.175,0.00813519,-0.179481,-9.67014,-0.00119909,0.000546798,0.000845577
461.181,0.00509122,-0.186154,-9.65938,-4.7303e-05,-0.000315751,-0.00141557
461.188,0.0189833,-0.166132,-9.68793,-0.000386167,0.000521696,-0.00128818
461.194,0.0347123,-0.168586,-9.6229,9.13041e-05,0.000228361,0.000409103
461.2,0.0294838,-0.170181,-9.65039,0.000658162,0.000276631,-0.000226388
461.206,0.00688576,-0.173303,-9.65154,0.000901124,-0.000200511,0.000235788
461.213,0.0150199,-0.173335,-9.66919,0.000260701,0.00129891,-0.000354381
461.219,0.000868089,-0.172656,-9.64642,0.000856046,-2.91531e-05,-0.000490464
461.225,0.0229198,-0.173203,-9.65423,0.000558251,0.000208332,9.58955e-05
461.231,0.0209986,-0.189645,-9.65672,-0.00069655,0.00131633,-0.000185329
461.238,0.0138807,-0.169575,-9.61732,0.00160141,-0.00165236,0.000508737
461.244,0.00103023,-0.173351,-9.65033,0.00129679,0.000553619,0.000342811
461.25,0.0194528,-0.180368,-9.64214,0.000154454,0.000430783,0.000278767
461.256,0.0240803,-0.156063,-9.64657,0.000357755,-0.000267062,-0.000381866
461.263,0.043946,-0.175964,-9.69236,-0.000240473,0.000154548,0.000384951
461.269,0.0221076,-0.181734,-9.66218,-0.00103229,-0.000904498,-0.000668197
461.275,-0.00593879,-0.166014,-9.66162,-0.000189789,-0.00107672,-0.00081713
461.281,0.0207511,-0.173269,-9.63264,0.000351207,0.000718619,-0.00136062
461.288,0.011666,-0.147686,-9.65294,0.000371411,3.38713e-05,-0.00121692
461.294,0.0318893,-0.178065,-9.66275,0.00043898,0.000259064,-0.000779503
461.3,0.0254056,-0.188968,-9.60476,-0.000852208,-0.000774679,0.000143602
461.306,0.00303956,-0.186357,-9.64559,7.53249e-05,-0.00026999,-0.000843702
461.313,0.0239461,-0.167118,-9.63698,7.37505e-05,0.000270519,0.00018331
461.319,-0.00410632,-0.191852,-9.64551,-0.000300137,0.000122281,-0.000187364
461.325,0.0170596,-0.191988,-9.62541,0.000594044,-0.000624909,-0.000263517
461.331,0.00714997,-0.171994,-9.64073,0.000891197,-0.000128996,-0.0011946
461.338,3.21353e-06,-0.159213,-9.66652,0.000167221,-0.000889984,0.000659448
461.344,0.000805424,-0.168205,-9.66578,0.0011112,-3.30413e-05,-0.00106166
461.35,0.0143386,-0.173782,-9.65061,-0.000724656,0.000776667,-1.00629e-05
461.356,-0.00703208,-0.185076,-9.6541,-0.000137023,-0.000250321,-0.000117904
461.363,0.0247729,-0.164676,-9.60832,0.000150495,9.00986e-05,-0.000118895
461.369,0.013929,-0.179331,-9.66408,0.000886295,0.000385907,-0.0010997
461.375,0.0255168,-0.172378,-9.68371,0.000577675,0.000519823,0.000453104
461.381,0.0234355,-0.164037,-9.66681,0.000742192,-0.00106845,0.000759737
461.388,0.0388468,-0.169291,-9.67132,0.000224133,0.000698861,1.95522e-05
461.394,0.02901,-0.175555,-9.62982,0.00031203,0.000518951,0.000610719
461.4,0.0111264,-0.165898,-9.67153,0.000246773,0.000219293,0.000423882
461.406,0.0308057,-0.178561,-9.62858,-0.000375764,-0.000205002,0.00022435
461.413,0.0174254,-0.178525,-9.62972,-0.000724176,0.00117578,-0.000940307
461.419,0.0150804,-0.187021,-9.62997,0.000237312,0.000709877,-0.000814252
461.425,0.0195126,-0.166242,-9.65198,-0.00124859,0.000867333,-0.000325191
461.431,0.023833,-0.174529,-9.66098,0.00083361,-0.000450832,-0.000169409
461.438,0.0303265,-0.178674,-9.66679,7.06464e-05,0.000378185,-0.000536134
461.444,0.0129233,-0.174637,-9.64648,-0.00164121,0.000586636,0.000190861
461.45,0.0239033,-0.173271,-9.66016,0.000223834,-0.000175902,-0.000683851
461.456,0.000919163,-0.209841,-9.65172,-0.000708578,0.00193479,-0.000576895
461.463,0.0192222,-0.170844,-9.64907,0.000102574,-0.000179899,-0.00244213
461.469,0.0142762,-0.18988,-9.65202,-0.000470761,-0.000367187,-0.000122205
461.475,0.0147002,-0.172506,-9.64974,0.00129386,-0.000544262,-0.00018602
461.481,0.00543364,-0.182449,-9.66199,0.00027704,0.00076438,-0.000760653
461.488,0.0264262,-0.178019,-9.6345,-0.00096483,0.000462187,0.00040256
461.494,-0.0125431,-0.192075,-9.66597,0.00084083,-0.000296916,-0.000459233
461.5,-0.000545882,-0.169259,-9.61659,-0.000386627,-0.000772911,-0.00150508
461.506,0.0100441,-0.1923,-9.67732,-0.000337335,-0.000901664,-0.000605279
461.513,0.0448954,-0.185606,-9.66439,0.000594753,-0.00114875,-0.000125692
461.519,-0.00454151,-0.179975,-9.6544,-0.000213917,0.000159717,-0.000226135
461.525,0.0393165,-0.177266,-9.6712,-0.000760386,6.44271e-05,0.000330849
461.531,0.0207229,-0.187673,-9.66431,-0.00132631,-0.000620825,-0.000344178
461.538,0.0126184,-0.178981,-9.61586,-0.00153174,-0.000519278,0.000587169
461.544,0.00436997,-0.158638,-9.62181,0.000107497,0.000471102,-3.47169e-05
461.55,0.0284794,-0.161683,-9.60839,0.000474646,0.000395343,0.00077946
461.556,0.019148,-0.160254,-9.68337,-0.000128085,-7.6533e-05,-0.000200496
461.563,0.00431924,-0.167932,-9.62362,0.000216907,7.99079e-05,-0.00182365
461.569,0.0172852,-0.184732,-9.62108,-1.01358e-05,6.55123e-05,-0.000377052
461.575,0.0336921,-0.186731,-9.61059,0.000418938,-0.000723152,-0.000875591
461.581,0.0202453,-0.175609,-9.6644,0.000309215,-0.00062237,-0.00141786
461.588,0.0345942,-0.166462,-9.65826,0.000518444,3.3906e-07,-0.000367273
461.594,0.0147185,-0.168456,-9.6582,-0.000473901,8.81914e-05,-0.000933154
461.6,0.00290582,-0.176318,-9.65162,-0.0005133,-0.000673779,-0.000309385
461.606,0.0103999,-0.208717,-9.67567,-0.000376108,-0.000654738,0.000248848
461.613,0.00797905,-0.187622,-9.67244,-0.00105906,-0.00094385,-0.00100294
461.619,0.0265311,-0.171042,-9.62036,-0.000348972,2.94975e-05,-0.00147078
461.625,0.00894833,-0.135971,-9.65076,0.0012724,0.000290269,-0.00147637
461.631,0.0103766,-0.166602,-9.69514,0.000765524,5.00162e-05,-0.000434721
461.638,0.0123747,-0.194668,-9.66579,0.000797936,-0.00115824,-0.000242912
461.644,0.00633478,-0.181403,-9.60949,-0.000606578,-0.000740433,0.000185306
461.65,0.0224512,-0.181311,-9.65312,0.000713963,0.00137434,0.00022441
461.656,0.0418551,-0.181486,-9.66659,0.000628494,0.000190582,-0.00153349
461.663,-0.00661935,-0.190966,-9.68361,-0.000175388,-0.000349812,-0.000884145
461.669,0.0145473,-0.163216,-9.62114,-0.000999914,0.00059383,-6.0413e-05
461.675,0.00505912,-0.180204,-9.63039,-0.000665725,-0.000596454,-0.00067152
461.681,0.0181382,-0.165766,-9.64536,0.00103092,-8.54597e-05,-0.000630002
461.688,0.0244129,-0.164026,-9.68054,0.000473033,-0.00115492,0.000369192
461.694,0.0150631,-0.183471,-9.66032,-0.00129905,-0.000890411,0.000282461
461.7,0.0300602,-0.193475,-9.63471,-5.28293e-06,0.000243636,0.000100614
461.706,0.0150713,-0.186165,-9.65699,0.000183582,0.000196463,-0.000555028
461.713,0.0244959,-0.178236,-9.68418,0.000701659,0.000392364,-0.00196584
461.719,0.00800953,-0.179281,-9.65934,-0.000273863,-0.000263779,-0.000299117
461.725,0.0345111,-0.178735,-9.69308,-0.000344113,-0.00121182,-0.000753176
461.731,-0.00157623,-0.148823,-9.56304,0.00107511,0.000344313,-0.0014796
461.738,-0.0104431,-0.17449,-9.61604,-6.72082e-05,-0.000469729,7.05775e-05
461.744,-0.0176307,-0.170299,-9.64384,0.00131567,0.00195871,2.03084e-05
461.75,0.0177127,-0.171339,-9.65938,-0.00109345,-0.00165328,-0.00169812
461.756,0.00257535,-0.194845,-9.69459,0.00172545,-0.00015284,-0.000532539
461.763,-0.00920927,-0.165083,-9.56032,-3.43986e-05,-0.00145116,0.000288972
461.769,0.0107354,-0.19037,-9.72163,3.97877e-05,-6.78236e-05,-0.000589746
461.775,0.0167106,-0.169768,-9.59485,-5.01699e-05,-0.000632132,-0.000344005
461.781,0.0394876,-0.189597,-9.72779,-0.00145257,-7.76821e-05,-0.000407985
461.788,0.0340548,-0.172855,-9.5913,-0.000338783,0.000323188,-0.00183486
461.794,-0.00848235,-0.18394,-9.65236,-0.00196069,-0.000966868,0.00102791
461.8,0.0240144,-0.171268,-9.61203,-4.75626e-06,0.00128159,-0.000776063
461.806,0.0113617,-0.178992,-9.65516,-6.0518e-05,-0.000271281,-0.00235667
461.813,0.0287789,-0.197977,-9.67557,0.000412137,0.000269095,2.04323e-05
461.819,0.0065546,-0.162089,-9.67396,0.00040666,-0.000292557,-0.00124166
461.825,0.0194217,-0.185505,-9.65177,0.000339733,8.12885e-05,-3.04207e-05
461.831,0.0178591,-0.177346,-9.64278,-0.000764878,0.00053924,-0.00156427
461.838,0.0188586,-0.167948,-9.67618,-0.000489134,-0.00139679,-0.00028192
461.844,0.00922153,-0.16787,-9.59911,0.000537165,-0.000731322,0.000251069
461.85,0.0371387,-0.161067,-9.64735,-0.000348161,0.000153406,-4.43868e-06
461.856,0.0295887,-0.15306,-9.67621,-0.000302703,0.000199404,2.74219e-05
461.863,0.0146396,-0.167016,-9.68766,-0.000946243,-0.00155378,-5.89965e-05
461.869,0.0297266,-0.17546,-9.63887,-0.000483882,-0.000167468,-0.000337726
461.875,0.00634237,-0.167589,-9.65652,0.000536756,0.000655756,-0.00127199
461.881,0.0348538,-0.167573,-9.63995,-0.00127887,-0.000499214,-0.000708626
461.888,-0.00346117,-0.185145,-9.66062,-0.000143227,-0.000602282,-0.000539443
461.894,0.0203277,-0.15947,-9.62591,-0.000875934,0.000120849,-0.000248467
461.9,0.0280096,-0.173219,-9.62941,-0.000408905,-0.000198598,-0.000791763
461.906,0.00804265,-0.172245,-9.64823,0.00119985,0.000631087,-0.000770508
461.913,0.0285705,-0.165854,-9.65699,-0.000951566,0.000554921,-0.00121029
461.919,0.00710247,-0.179975,-9.68091,-0.000105238,-0.00160277,-0.00183578
461.925,0.00280522,-0.192422,-9.62362,-0.00195288,-0.000658358,-0.000759317
461.931,0.000713507,-0.151554,-9.6582,0.000755794,-0.00106354,-0.000484723
461.938,-0.00677035,-0.151083,-9.66593,-0.00120367,-0.000211361,0.000143628
461.944,0.0209477,-0.176478,-9.67528,0.000625304,0.000837895,-0.00176685
461.95,0.0241242,-0.176381,-9.65876,-0.000653948,7.6483e-05,0.000373886
461.956,0.00401101,-0.178078,-9.6354,0.000215783,0.000442032,-0.000112602
461.963,0.0113418,-0.173547,-9.66143,0.000140136,0.000812853,6.40247e-05
461.969,-0.00259638,-0.176803,-9.64581,-0.000177959,-0.00024631,-0.00117965
461.975,0.0273189,-0.190037,-9.69118,-0.000176009,0.000300624,0.000266949
461.981,0.0163261,-0.169497,-9.6756,0.000452931,-0.000182867,0.000521537
461.988,0.0346126,-0.181869,-9.66333,0.00130414,9.48047e-05,-0.000971723
461.994,0.0169882,-0.19332,-9.66227,-0.000109994,-0.000130646,0.000110049
462.006,0.0129037,-0.186146,-9.64545,-0.00072873,0.00113428,6.84671e-05
462.013,0.0068729,-0.180737,-9.67097,0.00126541,0.000562312,-0.000703662
462.019,0.0204482,-0.172488,-9.63191,-0.000257902,-0.000219443,4.57978e-05
462.025,0.0347824,-0.182173,-9.66375,0.000531557,0.000290886,-0.00027453
462.031,-0.00490051,-0.165094,-9.62151,-2.01112e-05,-0.000618739,-0.00126244
462.038,0.0305142,-0.163906,-9.63646,0.000474114,2.31057e-05,-0.000992536
462.044,0.0145566,-0.178429,-9.65826,0.000396169,-0.000552986,-0.000157609
462.05,0.0465936,-0.169303,-9.67984,-0.000914549,-0.000216125,0.000211279
462.056,0.00307763,-0.158502,-9.66722,-0.000838336,-0.000391967,-0.00144212
462.063,0.012745,-0.171729,-9.61979,-0.000244987,-0.000475781,-0.00164708
462.069,0.0158788,-0.186775,-9.66603,-0.00144272,-0.000245345,-0.00146535
462.075,-0.00748556,-0.194403,-9.6511,-0.000383907,0.000488375,-0.000451973
462.081,0.00760114,-0.159529,-9.68174,-0.000315281,0.000264435,-7.16094e-06
462.088,0.019345,-0.161771,-9.6451,8.48656e-05,-0.000273956,-0.000803399
462.094,-0.000411355,-0.180243,-9.66004,-0.000716689,-0.000353975,0.00046927
462.1,0.0307637,-0.162263,-9.6378,-6.8184e-05,-0.000100991,-0.00153957
462.106,0.0350256,-0.181419,-9.65311,0.000378258,0.000465754,0.00070778
462.113,0.003389,-0.180877,-9.65706,7.48839e-05,-0.000563082,-0.00108843
462.119,0.0164949,-0.164536,-9.64822,-0.000966179,0.000653497,-8.42633e-05
462.125,0.00850196,-0.174138,-9.66282,-0.00042082,-0.000400608,3.60906e-05
462.131,0.00475546,-0.184783,-9.6684,0.00149978,-0.00198824,-0.000473733
462.138,0.0270799,-0.17609,-9.63425,-0.000863018,-0.000437063,-0.000943849
462.144,0.00518968,-0.16865,-9.61842,-0.000505788,-0.000208811,0.000730824
462.15,0.0198976,-0.174405,-9.634,-0.000945397,0.00061383,-0.000546538
462.156,0.0190812,-0.177951,-9.63828,0.000468127,-4.98036e-05,-0.00146261
462.163,0.0221901,-0.178266,-9.64482,0.000764398,3.63598e-05,-0.000716496
462.169,0.0305898,-0.15942,-9.64002,0.000105682,0.00111285,0.000596651
462.175,-0.00815939,-0.151503,-9.6535,-0.000647635,-0.00144028,-0.000502362
462.181,0.0207755,-0.169972,-9.65053,0.00136033,0.00054393,-0.000736828
462.188,0.00240015,-0.187541,-9.62405,0.000688035,0.000438378,-9.05674e-05
462.194,0.0243875,-0.17279,-9.65775,-0.000277258,-0.000227879,-0.00224294
462.2,0.0266693,-0.193491,-9.64509,-0.000667906,0.000284782,-0.000268706
462.206,0.0191231,-0.187624,-9.65601,-0.000500516,0.000146796,-0.000628957
462.213,0.00571869,-0.156228,-9.66371,-0.000344346,-0.00036849,0.000779943
462.219,0.00871142,-0.153598,-9.66245,1.63703e-06,0.000331799,-0.000618173
462.225,0.0116599,-0.182215,-9.63432,-0.000274693,-0.000129847,-0.00141553
462.231,0.0304685,-0.184351,-9.67141,-0.00129342,-0.000190006,0.000126621
462.238,0.0100081,-0.190362,-9.65707,2.62784e-05,0.000719048,-0.000125146
462.244,0.0102608,-0.180976,-9.65226,-0.00012097,0.000519277,-0.00094879
462.25,0.00301621,-0.172971,-9.59734,-0.00113406,-0.000476283,-0.000685178
462.256,-0.00111299,-0.178117,-9.63987,-0.000121555,0.000148189,-0.000319067
462.263,-0.00750292,-0.211032,-9.68214,0.000574857,0.000968119,-0.000176545
462.269,0.00245178,-0.167515,-9.67246,-0.00229336,-2.3909e-05,0.0014457
462.275,0.00803182,-0.171076,-9.68048,0.000982332,0.00177019,-0.00093021
462.281,0.017131,-0.192167,-9.67531,-0.000175199,0.000658501,-0.000533366
462.288,0.0169401,-0.158622,-9.68852,-0.00100741,-0.000331895,-0.000925605
462.294,0.0137976,-0.185545,-9.68512,-0.00171278,-0.000473614,-0.000827488
462.3,0.00451951,-0.162552,-9.65408,0.00107603,-0.000285889,0.00045162
462.306,0.0206578,-0.187395,-9.65815,0.000257031,-7.49344e-05,9.78736e-05
462.313,0.0297988,-0.167316,-9.66866,0.000941258,7.95045e-05,-9.19597e-05
462.319,0.0222404,-0.171928,-9.64916,-0.000425339,-4.46628e-05,0.000367589
462.325,0.0410479,-0.171513,-9.62629,-0.000418386,7.66828e-07,-0.000445596
462.331,0.0119847,-0.1625,-9.64949,0.000749459,5.75187e-05,-0.00103741
462.338,0.0296345,-0.184,-9.65475,0.000131788,-0.000733886,-0.000142225
462.344,0.0159816,-0.165097,-9.65469,-0.000624655,-0.000311342,-0.001283
462.35,0.0207076,-0.160774,-9.64251,-9.15122e-05,0.000354559,-0.000685128
462.356,0.0146454,-0.146562,-9.61145,-0.00088373,0.0011632,-0.00106474
462.363,0.0147991,-0.17303,-9.66996,-0.00037086,-0.000427832,-0.000910216
462.369,0.00908989,-0.190759,-9.64168,-0.000577639,0.00101673,-0.000948235
462.375,0.0097535,-0.150933,-9.65543,0.000451219,-0.000295329,-0.00170768
462.381,0.00184857,-0.168509,-9.66374,0.000700948,-0.001663,-5.13345e-06
462.388,0.0166929,-0.203041,-9.66296,-0.000785817,0.00100145,7.90972e-05
462.394,0.00122657,-0.159756,-9.65894,-4.56693e-05,-0.000737263,-0.000576722
462.4,0.0237744,-0.182966,-9.65663,7.07388e-05,-0.000116933,-0.000101792
462.406,0.00125759,-0.147967,-9.66945,0.0013447,-0.00104893,-0.000204214
462.413,-0.000685888,-0.171048,-9.63201,-0.000700166,0.00123665,2.87537e-05
462.419,0.025061,-0.1829,-9.65781,0.000427802,0.00120191,-0.000418706
462.425,-0.00401786,-0.1797,-9.64426,-0.000370865,-0.000182168,-6.01076e-06
462.431,0.0296405,-0.200555,-9.64332,0.000755914,0.00197835,-0.000544912
462.438,0.0324844,-0.179086,-9.66999,0.000324691,-0.000730336,-7.51968e-05
462.444,0.00537735,-0.167959,-9.631,0.000556144,-0.00113901,-0.000107862
462.45,0.0118527,-0.179775,-9.66232,6.96676e-06,0.0001629,2.06484e-05
462.456,0.0241087,-0.167077,-9.64744,0.000157124,-0.00140517,-0.00046664
462.463,0.0136901,-0.168928,-9.68627,-5.95937e-05,0.000386717,-0.000216893
462.469,0.023718,-0.1632,-9.65393,-7.42532e-05,0.00137677,-0.000547272
462.475,0.0223784,-0.174436,-9.64593,0.00089692,0.00125017,-0.000979328
462.481,0.00307761,-0.18571,-9.61563,-0.000812175,8.22724e-05,-0.00100554
462.488,0.0186088,-0.173969,-9.67121,-0.000407775,-0.000336196,-6.12596e-05
462.494,0.0168496,-0.164133,-9.64906,0.00032789,-0.000163492,-0.000769676
462.5,0.024478,-0.194216,-9.65346,-0.000440855,0.0006407,-1.72388e-06
462.506,0.0276509,-0.143863,-9.67889,-0.000364105,0.000874164,-0.000558341
462.513,0.0207957,-0.176607,-9.66993,-0.000275589,-0.000907248,-0.00163683
462.519,0.0420435,-0.162756,-9.62366,0.000526515,0.000838778,-0.000671411
462.525,-0.00324432,-0.183201,-9.63806,7.38646e-05,0.000263329,0.00118617
462.531,0.000833485,-0.162407,-9.61031,-0.000845629,0.00160865,-0.000805829
462.538,0.0246783,-0.216748,-9.65771,0.000538158,-0.000830647,-0.000831981
462.544,0.0249816,-0.189587,-9.62778,-0.00024016,0.000641072,-0.000877322
462.55,0.0183964,-0.168269,-9.64901,-0.000231571,-0.000565948,-3.23122e-05
462.556,0.0460033,-0.169642,-9.64461,0.0010592,-0.000505549,-0.000265337
462.563,0.0165749,-0.179236,-9.672,-0.000595548,0.000244545,-0.000727115
462.569,0.0131982,-0.186709,-9.6568,0.000386101,7.37503e-06,2.19066e-05
462.575,0.0105446,-0.189743,-9.64647,-0.000312371,-0.000944768,6.21825e-05
462.581,0.00668437,-0.167015,-9.64533,-0.000421359,-0.000189543,-0.0017536
462.588,0.0161946,-0.174643,-9.66358,0.000610681,0.000429302,-0.000512029
462.594,0.0156982,-0.157987,-9.63836,-0.000590627,0.000626213,-0.00043662
462.6,0.0382389,-0.170471,-9.67735,-0.000552056,0.000104792,-0.00075953
462.606,0.00596783,-0.188853,-9.66063,0.000868427,-0.000138944,-0.000821104
462.613,0.0224014,-0.194211,-9.65383,3.68068e-05,0.000430722,0.000290398
462.619,0.0351697,-0.174083,-9.64508,-5.96396e-05,-0.000861279,-0.000640822
462.625,0.00206332,-0.163833,-9.66783,-0.000167342,0.000135083,-0.000282026
462.631,0.0183957,-0.167508,-9.65816,6.62054e-05,0.000645436,-0.000773425
462.638,0.00503138,-0.188276,-9.66353,-0.000649136,-0.000680591,0.000194259
462.644,0.0211689,-0.174821,-9.65921,-0.00132875,0.000162104,-0.000528497
462.65,0.00591145,-0.164666,-9.68881,-0.000338104,8.25467e-05,-0.000267098
462.656,0.0238613,-0.16406,-9.70244,0.000247068,0.000704221,-0.000446654
462.663,0.0218712,-0.181141,-9.65431,0.000662892,0.00105302,0.000210499
462.669,0.00927822,-0.176019,-9.65149,-0.000713184,-0.000237531,-5.87385e-05
462.675,0.000121441,-0.14218,-9.64361,-0.00022292,0.000302432,-0.000902372
